samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,tribe,genus,species
M01895:175:000000000-CJJKT:1:1101:15775:13006__kiwi2019__AG0320-219__515f,Eukaryota,Viridiplantae,,Streptophyta,,rosids,Fabales,,Fabaceae,Papilionoideae,Trifolieae,Trifolium,
M01895:175:000000000-CJJKT:1:1101:9650:19008__kiwi2019__AG0320-755__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:19583:2996__kiwi2019__AG0320-289__515f,Bacteria,,,Actinobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:10810:16338__kiwi2019__AG0320-291__515f,Bacteria,,,Bacteroidetes,,,,,,,,,
M01895:175:000000000-CJJKT:1:1104:24091:14483__kiwi2019__AG0320-765__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Xanthomonadales,,Xanthomonadaceae,,,Stenotrophomonas,
M01895:175:000000000-CJJKT:1:1105:16316:16966__kiwi2019__AG0320-700__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Moraxellaceae,,,Alkanindiges,
M01895:175:000000000-CJJKT:1:1105:24644:16368__kiwi2019__AG0320-640__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Myriangiales,,,,,,
M01895:175:000000000-CJJKT:1:1106:13971:21691__kiwi2019__AG0320-040__515f,Bacteria,,,Bacteroidetes,,,,,,,,,
M01895:175:000000000-CJJKT:1:1106:21103:27988__kiwi2019__AG0320-066__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:1106:5377:24113__kiwi2019__AG0320-289__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1107:18664:16143__kiwi2019__AG0320-046__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Myxococcales,Sorangiineae,Polyangiaceae,,,,
M01895:175:000000000-CJJKT:1:1108:26963:12534__kiwi2019__AG0320-523__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Actinomycetales,,Actinomycetaceae,,,Actinomyces,
M01895:175:000000000-CJJKT:1:1110:17359:23693__kiwi2019__AG0320-042__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1111:15629:7054__kiwi2019__AG0320-731__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Neodevriesiaceae,,,,
M01895:175:000000000-CJJKT:1:1111:23150:10190__kiwi2019__AG0320-066__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Holosporales,,Candidatus Paracaedibacteraceae,,,,
M01895:175:000000000-CJJKT:1:1112:24558:17327__kiwi2019__AG0320-293__515f,Bacteria,,,Actinobacteria,Actinobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:1114:6531:20024__kiwi2019__AG0320-752__515f,Bacteria,,,Verrucomicrobia,,,,,,,,,
M01895:175:000000000-CJJKT:1:2101:17028:21012__kiwi2019__AG0320-687__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2101:27025:20874__kiwi2019__AG0320-010__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2102:6309:12722__kiwi2019__AG0320-080__515f,Eukaryota,Fungi,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2103:15223:18596__kiwi2019__AG0320-113__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:25180:12646__kiwi2019__AG0320-698__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,,,,,
M01895:175:000000000-CJJKT:1:2107:15527:12518__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2110:26103:6434__kiwi2019__AG0320-081__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Microbacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2110:5392:9248__kiwi2019__AG0320-024__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2113:11265:12693__kiwi2019__AG0320-051__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:1101:8400:20276__kiwi2019__AG0320-295__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:22151:11370__kiwi2019__AG0320-161__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:8867:13737__kiwi2019__AG0320-292__515f,Bacteria,,,Planctomycetes,Planctomycetia,,Planctomycetales,,Isosphaeraceae,,,,
M01895:175:000000000-CJJKT:1:1104:11948:13957__kiwi2019__AG0320-292__515f,Bacteria,,,Actinobacteria,Acidimicrobiia,,Acidimicrobiales,,Acidimicrobiaceae,,,,
M01895:175:000000000-CJJKT:1:1104:28226:20789__kiwi2019__AG0320-299__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:20980:19751__kiwi2019__AG0320-292__515f,Bacteria,,,Acidobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:9648:17313__kiwi2019__AG0320-289__515f,Bacteria,,,Verrucomicrobia,Verrucomicrobiae,,Verrucomicrobiales,,Verrucomicrobiaceae,,,Verrucomicrobium,uncultured Verrucomicrobium sp.
M01895:175:000000000-CJJKT:1:1106:16439:8046__kiwi2019__AG0320-094__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1107:18109:20743__kiwi2019__AG0320-060__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Phyllobacteriaceae,,,Mesorhizobium,
M01895:175:000000000-CJJKT:1:1108:22845:17644__kiwi2019__AG0320-289__515f,Bacteria,,,Gemmatimonadetes,Gemmatimonadetes,,Gemmatimonadales,,Gemmatimonadaceae,,,Gemmatimonas,uncultured Gemmatimonas sp.
M01895:175:000000000-CJJKT:1:1108:5079:14304__kiwi2019__AG0320-289__515f,Bacteria,,,Acidobacteria,Acidobacteriia,,Acidobacteriales,,Acidobacteriaceae,,,Acidobacterium,uncultured Acidobacterium sp.
M01895:175:000000000-CJJKT:1:1109:18682:16535__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1109:3359:16147__kiwi2019__AG0320-289__515f,Archaea,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1110:8013:15333__kiwi2019__AG0320-057__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Sutterellaceae,,,,
M01895:175:000000000-CJJKT:1:1112:10506:14611__kiwi2019__AG0320-025__515f,Bacteria,,,Actinobacteria,Acidimicrobiia,,Acidimicrobiales,,Acidimicrobiaceae,,,,
M01895:175:000000000-CJJKT:1:1112:14151:11739__kiwi2019__AG0320-476__515f,Bacteria,,,Proteobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:1112:28945:17685__kiwi2019__AG0320-106__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1113:16541:16776__kiwi2019__AG0320-061__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1114:13766:5002__kiwi2019__AG0320-627__515f,Bacteria,,,Fusobacteria,Fusobacteriia,,Fusobacteriales,,Fusobacteriaceae,,,Fusobacterium,
M01895:175:000000000-CJJKT:1:2101:28173:14811__kiwi2019__AG0320-283__515f,Bacteria,,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,,Flavobacteriaceae,,,Chryseobacterium,
M01895:175:000000000-CJJKT:1:2102:5665:15282__kiwi2019__AG0320-701__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Nitrosomonadales,,,,,,
M01895:175:000000000-CJJKT:1:2103:23613:10043__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2105:12049:16812__kiwi2019__AG0320-124__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Myxococcales,Sorangiineae,,,,,
M01895:175:000000000-CJJKT:1:2105:28084:9730__kiwi2019__AG0320-696__515f,Bacteria,,,Firmicutes,Tissierellia,,Tissierellales,,Peptoniphilaceae,,,Anaerococcus,
M01895:175:000000000-CJJKT:1:2106:17488:7970__kiwi2019__AG0320-034__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,Thermotalea,uncultured Thermotalea sp.
M01895:175:000000000-CJJKT:1:2107:28349:12555__kiwi2019__AG0320-019__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Lactobacillaceae,,,Lactobacillus,
M01895:175:000000000-CJJKT:1:2108:21998:14436__kiwi2019__AG0320-476__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,,,,,,,
M01895:175:000000000-CJJKT:1:2109:17959:13187__kiwi2019__AG0320-029__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Ruminococcaceae,,,Acetivibrio,uncultured Acetivibrio sp.
M01895:175:000000000-CJJKT:1:2109:4955:17796__kiwi2019__AG0320-742__515f,Bacteria,,,Fusobacteria,Fusobacteriia,,Fusobacteriales,,Leptotrichiaceae,,,,
M01895:175:000000000-CJJKT:1:2111:22628:10111__kiwi2019__AG0320-055__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,Helotiales,,Hyaloscyphaceae,,,Hamatocanthoscypha,Hamatocanthoscypha laricionis
M01895:175:000000000-CJJKT:1:2113:25229:19856__kiwi2019__AG0320-217__515f,Bacteria,,,Verrucomicrobia,,,,,,,,,
M01895:175:000000000-CJJKT:1:2114:7742:4767__kiwi2019__AG0320-030__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Kineosporiales,,Kineosporiaceae,,,,
M01895:175:000000000-CJJKT:1:1113:9546:27483__kiwi2019__AG0320-385__515f,Eukaryota,Viridiplantae,,Streptophyta,Liliopsida,Petrosaviidae,,,,,,,
M01895:175:000000000-CJJKT:1:1101:25043:9689__kiwi2019__AG0320-263__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1102:21432:9724__kiwi2019__AG0320-338__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1105:10537:6515__kiwi2019__AG0320-152__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:15722:3210__kiwi2019__AG0320-695__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,Sphingomonas,
M01895:175:000000000-CJJKT:1:1101:7619:16836__kiwi2019__AG0320-592__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Xanthomonadales,,Rhodanobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2112:7009:15695__kiwi2019__AG0320-444__515f,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Tremellaceae,,,Tremella,
M01895:175:000000000-CJJKT:1:1101:26093:11088__kiwi2019__AG0320-521__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Oxalobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1106:9975:18143__kiwi2019__AG0320-585__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Enterobacterales,,Enterobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2108:9114:19767__kiwi2019__AG0320-246__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Bradyrhizobiaceae,,,,
M01895:175:000000000-CJJKT:1:1105:17043:18556__kiwi2019__AG0320-106__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Bacteroidaceae,,,Bacteroides,uncultured Bacteroides sp.
M01895:175:000000000-CJJKT:1:1109:4384:11622__kiwi2019__AG0320-331__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Promicromonosporaceae,,,,
M01895:175:000000000-CJJKT:1:1102:6934:5711__kiwi2019__AG0320-776__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Burkholderiaceae,,,,
M01895:175:000000000-CJJKT:1:1112:13295:26537__kiwi2019__AG0320-676__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Micrococcaceae,,,,
M01895:175:000000000-CJJKT:1:1101:22951:12885__kiwi2019__AG0320-470__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,,
M01895:175:000000000-CJJKT:1:1104:5458:12317__kiwi2019__AG0320-080__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Legionellales,,Coxiellaceae,,,,
M01895:175:000000000-CJJKT:1:1109:14359:20712__kiwi2019__AG0320-843__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Leuconostocaceae,,,Leuconostoc,
M01895:175:000000000-CJJKT:1:1104:20032:5951__kiwi2019__AG0320-115__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Staphylococcaceae,,,Staphylococcus,
M01895:175:000000000-CJJKT:1:1112:15892:13726__kiwi2019__AG0320-629__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Xanthomonadales,,Xanthomonadaceae,,,Xanthomonas,
M01895:175:000000000-CJJKT:1:2110:27539:18720__kiwi2019__AG0320-307__515f,Eukaryota,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:25647:12070__kiwi2019__AG0320-263__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:15323:6905__kiwi2019__AG0320-427__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,,,,,
M01895:175:000000000-CJJKT:1:2105:21711:3508__kiwi2019__AG0320-010__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1109:8332:15930__kiwi2019__AG0320-276__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Caulobacterales,,Caulobacteraceae,,,Brevundimonas,
M01895:175:000000000-CJJKT:1:1108:21030:2455__kiwi2019__AG0320-094__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1102:19862:10531__kiwi2019__AG0320-543__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Corynebacteriales,,Corynebacteriaceae,,,Corynebacterium,
M01895:175:000000000-CJJKT:1:2105:22161:24225__kiwi2019__AG0320-692__515f,Bacteria,,,Bacteroidetes,Sphingobacteriia,,Sphingobacteriales,,Sphingobacteriaceae,,,Mucilaginibacter,
M01895:175:000000000-CJJKT:1:1101:10029:27237__kiwi2019__AG0320-811__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,,
M01895:175:000000000-CJJKT:1:2110:5597:21320__kiwi2019__AG0320-755__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,Sphingomonas,
M01895:175:000000000-CJJKT:1:2103:4344:12843__kiwi2019__AG0320-693__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,,
M01895:175:000000000-CJJKT:1:2109:15231:3628__kiwi2019__AG0320-113__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,Clostridium,
M01895:175:000000000-CJJKT:1:2106:9664:25593__kiwi2019__AG0320-516__515f,Eukaryota,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2107:22677:14388__kiwi2019__AG0320-272__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Streptococcaceae,,,Streptococcus,
M01895:175:000000000-CJJKT:1:1113:22702:25960__kiwi2019__AG0320-197__515f,Bacteria,,,Proteobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:2102:4134:20680__kiwi2019__AG0320-717__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Micrococcaceae,,,Micrococcus,
M01895:175:000000000-CJJKT:1:1114:13675:7185__kiwi2019__AG0320-479__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:19293:27031__kiwi2019__AG0320-041__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2114:22029:21597__kiwi2019__AG0320-681__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Caulobacterales,,Caulobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1113:7150:16067__kiwi2019__AG0320-755__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,,
M01895:175:000000000-CJJKT:1:1102:15593:17004__kiwi2019__AG0320-066__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,,
M01895:175:000000000-CJJKT:1:2110:11398:26972__kiwi2019__AG0320-692__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:14926:3893__kiwi2019__AG0320-435__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Cladosporiaceae,,,Cladosporium,
M01895:175:000000000-CJJKT:1:2106:21837:18497__kiwi2019__AG0320-071__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Bacteroidaceae,,,Bacteroides,
M01895:175:000000000-CJJKT:1:1104:11785:21997__kiwi2019__AG0320-651__515f,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,,
M01895:175:000000000-CJJKT:1:2109:13219:25512__kiwi2019__AG0320-018__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1101:19567:18499__kiwi2019__AG0320-733__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2113:8425:24273__kiwi2019__AG0320-010__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2106:25242:9169__kiwi2019__AG0320-729__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,,,,,,,,
M01895:175:000000000-CJJKT:1:2101:21589:10669__kiwi2019__AG0320-276__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,,
M01895:175:000000000-CJJKT:1:1102:16035:9497__kiwi2019__AG0320-543__515f,Bacteria,,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,,Flavobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2112:12862:20153__kiwi2019__AG0320-060__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2107:23994:12538__kiwi2019__AG0320-276__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1110:14528:13238__kiwi2019__AG0320-236__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Burkholderiaceae,,,Ralstonia,
M01895:175:000000000-CJJKT:1:2113:8357:4349__kiwi2019__AG0320-702__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Oceanospirillales,,Halomonadaceae,,,Halomonas,
M01895:175:000000000-CJJKT:1:1112:6854:16298__kiwi2019__AG0320-622__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Moraxellaceae,,,Acinetobacter,
M01895:175:000000000-CJJKT:1:2113:10283:13197__kiwi2019__AG0320-683__515f,Bacteria,,,Bacteroidetes,Sphingobacteriia,,Sphingobacteriales,,Sphingobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1101:18460:19093__kiwi2019__AG0320-089__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Hyphomicrobiaceae,,,Rhodoplanes,uncultured Rhodoplanes sp.
M01895:175:000000000-CJJKT:1:2105:19603:17699__kiwi2019__AG0320-100__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Microbacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1108:7732:4403__kiwi2019__AG0320-292__515f,Bacteria,,,Firmicutes,Bacilli,,,,,,,,
M01895:175:000000000-CJJKT:1:1106:19518:25209__kiwi2019__AG0320-094__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2105:19118:24085__kiwi2019__AG0320-387__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Leuconostocaceae,,,Fructobacillus,
M01895:175:000000000-CJJKT:1:2106:10502:16567__kiwi2019__AG0320-021__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Bacteroidaceae,,,Bacteroides,
M01895:175:000000000-CJJKT:1:1102:8323:25492__kiwi2019__AG0320-327__515f,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,,
M01895:175:000000000-CJJKT:1:2110:27747:15060__kiwi2019__AG0320-234__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,,
M01895:175:000000000-CJJKT:1:1113:22518:8019__kiwi2019__AG0320-613__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Rhizobiaceae,,,,
M01895:175:000000000-CJJKT:1:2101:21960:10248__kiwi2019__AG0320-010__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Bacteroidaceae,,,Bacteroides,
M01895:175:000000000-CJJKT:1:1102:25317:12056__kiwi2019__AG0320-657__515f,Bacteria,,,Firmicutes,Tissierellia,,Tissierellales,,Peptoniphilaceae,,,Finegoldia,
M01895:175:000000000-CJJKT:1:2102:12657:27423__kiwi2019__AG0320-037__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1101:7945:18830__kiwi2019__AG0320-762__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,,,,,
M01895:175:000000000-CJJKT:1:1102:16299:24384__kiwi2019__AG0320-133__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:23013:21608__kiwi2019__AG0320-059__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Lachnospiraceae,,,Roseburia,
M01895:175:000000000-CJJKT:1:2114:7467:22976__kiwi2019__AG0320-060__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Prevotellaceae,,,Prevotella,
M01895:175:000000000-CJJKT:1:2101:15550:19887__kiwi2019__AG0320-041__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,,
M01895:175:000000000-CJJKT:1:1108:17060:28360__kiwi2019__AG0320-622__515f,Bacteria,,,Proteobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:21585:16111__kiwi2019__AG0320-317__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodobacterales,,Rhodobacteraceae,,,Paracoccus,
M01895:175:000000000-CJJKT:1:1114:22164:14464__kiwi2019__AG0320-020__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2111:21433:18591__kiwi2019__AG0320-101__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Listeriaceae,,,Brochothrix,
M01895:175:000000000-CJJKT:1:2108:11368:3191__kiwi2019__AG0320-142__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Moraxellaceae,,,Acinetobacter,
M01895:175:000000000-CJJKT:1:2108:11450:4684__kiwi2019__AG0320-265__515f,Bacteria,,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,,Flavobacteriaceae,,,Chryseobacterium,
M01895:175:000000000-CJJKT:1:1106:2987:14035__kiwi2019__AG0320-190__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Lecanoromycetes,Lecanoromycetidae,,,,,,,
M01895:175:000000000-CJJKT:1:2113:20604:8945__kiwi2019__AG0320-080__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Legionellales,,Legionellaceae,,,Legionella,uncultured Legionella sp.
M01895:175:000000000-CJJKT:1:1106:10701:24280__kiwi2019__AG0320-631__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2108:17028:22937__kiwi2019__AG0320-006__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,Clostridium,
M01895:175:000000000-CJJKT:1:1101:20016:13160__kiwi2019__AG0320-255__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Xanthomonadales,,Xanthomonadaceae,,,Xanthomonas,
M01895:175:000000000-CJJKT:1:1110:14287:7773__kiwi2019__AG0320-619__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Vibrionales,,Vibrionaceae,,,Photobacterium,
M01895:175:000000000-CJJKT:1:2113:3051:10383__kiwi2019__AG0320-273__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Rhodocyclales,,Zoogloeaceae,,,Thauera,
M01895:175:000000000-CJJKT:1:1103:8256:17050__kiwi2019__AG0320-374__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Methylobacteriaceae,,,Methylobacterium,
M01895:175:000000000-CJJKT:1:1109:8290:6242__kiwi2019__AG0320-276__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Neodevriesiaceae,,,,
M01895:175:000000000-CJJKT:1:1106:12357:9230__kiwi2019__AG0320-294__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Burkholderiaceae,,,,
M01895:175:000000000-CJJKT:1:2111:18087:21932__kiwi2019__AG0320-114__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Aeromonadales,,Aeromonadaceae,,,,
M01895:175:000000000-CJJKT:1:1105:9379:19855__kiwi2019__AG0320-100__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Paenibacillaceae,,,Paenibacillus,
M01895:175:000000000-CJJKT:1:1111:21368:9427__kiwi2019__AG0320-106__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2109:9385:14810__kiwi2019__AG0320-237__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,,,,
M01895:175:000000000-CJJKT:1:1107:18009:13302__kiwi2019__AG0320-215__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:1102:4226:12224__kiwi2019__AG0320-027__515f,Bacteria,,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,,Flavobacteriaceae,,,Myroides,
M01895:175:000000000-CJJKT:1:1109:14483:24469__kiwi2019__AG0320-634__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,Sphingomonas,
